Skill, Years Of Experience
Python, 2
Rust, 2
Java, 2
JavaScript, 2
SQL, 2
TypeScript, 2
Spring, 2
Spring Boot, 2
Django, 2
HTML, 2
CSS, 2
Angular, 2
JavaScript, 2
JPA, 2
Hibernate, 2
Django-ORM, 2
MySQL, 2
TDD, 2
SCRUM, 2
AGILE, 2
Heroku, 2
AWS, 2
Linode, 2
Python Selenium, 2
PyTest, 2
JUnit 4&5, 2
Rust Testing, 2
Cargo, 2
Gradle, 2
Maven, 2
Npm, 2
VS Code, 2
Intellij, 2
Eclipse, 2
Rust Rover, 2
Nano, 2
Vim, 2
Unix-like systems, 2
Network Programming, 2
Linear Algebra, 2
Discrete Mathematics, 2
Data Structures and Algorithms, 2
ARM64 Assembly programming, 2
Computer Architecture, 2
Arduino Programming, 2